Vardas              Pavardess           Galutinis vidurkis  Galutine mediana    
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
Vardas965           Pavarde965          1.48                2.00                
Vardas4761          Pavarde4761         1.48                2.00                
Vardas9999          Pavarde9999         1.48                2.00                
Vardas4803          Pavarde4803         1.48                2.00                
Vardas5012          Pavarde5012         1.56                3.00                
Vardas662           Pavarde662          1.56                2.00                
Vardas5380          Pavarde5380         1.56                1.00                
Vardas1114          Pavarde1114         1.64                2.00                
Vardas6389          Pavarde6389         1.64                3.00                
Vardas5768          Pavarde5768         1.64                3.00                
Vardas8240          Pavarde8240         1.72                2.00                
Vardas9012          Pavarde9012         1.72                2.00                
Vardas6794          Pavarde6794         1.72                2.00                
Vardas5777          Pavarde5777         1.72                2.00                
Vardas3583          Pavarde3583         1.80                3.00                
Vardas6975          Pavarde6975         1.80                2.00                
Vardas164           Pavarde164          1.80                2.00                
Vardas7613          Pavarde7613         1.80                3.00                
Vardas1030          Pavarde1030         1.80                2.00                
Vardas4592          Pavarde4592         1.80                2.00                
Vardas3177          Pavarde3177         1.88                3.00                
Vardas4671          Pavarde4671         1.88                2.00                
Vardas4504          Pavarde4504         1.88                2.00                
Vardas6935          Pavarde6935         1.88                2.00                
Vardas2807          Pavarde2807         1.88                2.00                
Vardas7186          Pavarde7186         1.88                3.00                
Vardas2436          Pavarde2436         1.88                4.00                
Vardas6424          Pavarde6424         1.88                3.00                
Vardas5235          Pavarde5235         1.88                4.00                
Vardas7787          Pavarde7787         1.88                1.00                
Vardas7435          Pavarde7435         1.88                2.00                
Vardas6830          Pavarde6830         1.88                3.00                
Vardas5543          Pavarde5543         1.88                4.00                
Vardas7416          Pavarde7416         1.96                3.00                
Vardas4461          Pavarde4461         1.96                5.00                
Vardas6366          Pavarde6366         1.96                4.00                
Vardas15            Pavarde15           1.96                3.00                
Vardas4526          Pavarde4526         1.96                4.00                
Vardas6126          Pavarde6126         1.96                4.00                
Vardas1065          Pavarde1065         1.96                3.00                
Vardas9289          Pavarde9289         1.96                3.00                
Vardas4579          Pavarde4579         1.96                3.00                
Vardas7405          Pavarde7405         1.96                4.00                
Vardas3477          Pavarde3477         1.96                3.00                
Vardas7550          Pavarde7550         1.96                2.00                
Vardas3404          Pavarde3404         1.96                3.00                
Vardas2893          Pavarde2893         1.96                3.00                
Vardas2318          Pavarde2318         1.96                3.00                
Vardas7615          Pavarde7615         1.96                4.00                
Vardas132           Pavarde132          1.96                4.00                
Vardas8631          Pavarde8631         2.04                3.00                
Vardas5582          Pavarde5582         2.04                4.00                
Vardas9678          Pavarde9678         2.04                3.00                
Vardas2663          Pavarde2663         2.04                2.00                
Vardas6261          Pavarde6261         2.04                2.00                
Vardas1338          Pavarde1338         2.04                3.00                
Vardas325           Pavarde325          2.04                2.00                
Vardas4043          Pavarde4043         2.04                4.00                
Vardas7013          Pavarde7013         2.04                4.00                
Vardas8283          Pavarde8283         2.04                2.00                
Vardas8915          Pavarde8915         2.04                3.00                
Vardas9913          Pavarde9913         2.04                3.00                
Vardas5138          Pavarde5138         2.04                3.00                
Vardas7896          Pavarde7896         2.04                2.00                
Vardas1642          Pavarde1642         2.04                4.00                
Vardas600           Pavarde600          2.04                3.00                
Vardas9866          Pavarde9866         2.04                4.00                
Vardas3014          Pavarde3014         2.04                4.00                
Vardas8864          Pavarde8864         2.04                4.00                
Vardas8878          Pavarde8878         2.04                3.00                
Vardas6949          Pavarde6949         2.04                4.00                
Vardas8772          Pavarde8772         2.04                3.00                
Vardas5281          Pavarde5281         2.08                2.00                
Vardas7129          Pavarde7129         2.08                2.00                
Vardas4715          Pavarde4715         2.12                3.00                
Vardas5526          Pavarde5526         2.12                4.00                
Vardas8744          Pavarde8744         2.12                4.00                
Vardas6689          Pavarde6689         2.12                4.00                
Vardas4029          Pavarde4029         2.12                3.00                
Vardas6737          Pavarde6737         2.12                3.00                
Vardas3500          Pavarde3500         2.12                5.00                
Vardas8001          Pavarde8001         2.12                4.00                
Vardas7440          Pavarde7440         2.12                3.00                
Vardas950           Pavarde950          2.12                3.00                
Vardas9176          Pavarde9176         2.12                4.00                
Vardas3291          Pavarde3291         2.12                4.00                
Vardas3956          Pavarde3956         2.12                5.00                
Vardas9469          Pavarde9469         2.12                5.00                
Vardas3313          Pavarde3313         2.12                3.00                
Vardas6288          Pavarde6288         2.12                3.00                
Vardas6299          Pavarde6299         2.12                3.00                
Vardas4039          Pavarde4039         2.12                3.00                
Vardas1337          Pavarde1337         2.12                2.00                
Vardas7780          Pavarde7780         2.12                3.00                
Vardas8076          Pavarde8076         2.12                3.00                
Vardas2129          Pavarde2129         2.12                3.00                
Vardas8066          Pavarde8066         2.12                3.00                
Vardas7904          Pavarde7904         2.12                3.00                
Vardas7268          Pavarde7268         2.12                3.00                
Vardas5376          Pavarde5376         2.12                5.00                
Vardas3385          Pavarde3385         2.12                3.00                
Vardas7081          Pavarde7081         2.16                3.00                
Vardas8914          Pavarde8914         2.20                4.00                
Vardas9238          Pavarde9238         2.20                4.00                
Vardas9028          Pavarde9028         2.20                5.00                
Vardas5838          Pavarde5838         2.20                4.00                
Vardas2913          Pavarde2913         2.20                3.00                
Vardas5864          Pavarde5864         2.20                4.00                
Vardas3360          Pavarde3360         2.20                3.00                
Vardas8970          Pavarde8970         2.20                3.00                
Vardas8559          Pavarde8559         2.20                3.00                
Vardas9942          Pavarde9942         2.20                4.00                
Vardas5691          Pavarde5691         2.20                1.00                
Vardas9455          Pavarde9455         2.20                5.00                
Vardas1530          Pavarde1530         2.20                5.00                
Vardas3927          Pavarde3927         2.20                3.00                
Vardas846           Pavarde846          2.20                4.00                
Vardas9984          Pavarde9984         2.20                3.00                
Vardas1972          Pavarde1972         2.20                2.00                
Vardas2722          Pavarde2722         2.20                5.00                
Vardas1092          Pavarde1092         2.20                4.00                
Vardas1251          Pavarde1251         2.20                3.00                
